city,year,wage,price
Warszawa,2013,5226.05,6927
Warszawa,2014,5385.8,7105
Warszawa,2015,5591.46,7257
Warszawa,2016,5739.61,7346
Warszawa,2017,6059.04,7754
Warszawa,2018,6432.78,8144
Warszawa,2019,6802.6,8723
Warszawa,2020,7147.46,9327
Warszawa,2021,7687.58,10495
Warszawa,2022,8540.11,11705
Warszawa,2023,9625.74,13081
Warszawa,2024,10714.99,15402
Walbrzych,2013,3735.14,2060
Walbrzych,2014,3943.28,1946
Walbrzych,2015,4036.65,1907
Walbrzych,2016,4180.67,1838
Walbrzych,2017,4481.44,2053
Walbrzych,2018,4768.01,2115
Walbrzych,2019,5189.24,2357
Walbrzych,2020,5565.38,2612
Walbrzych,2021,6015.8,3150
Walbrzych,2022,6731.24,3931
Walbrzych,2023,7584.09,4167
Walbrzych,2024,8657.86,4675
Olsztyn,2013,3795.3,4242
Olsztyn,2014,3954.4,4427
Olsztyn,2015,4104.05,4403
Olsztyn,2016,4254.72,4433
Olsztyn,2017,4427.76,4496
Olsztyn,2018,4648.58,4720
Olsztyn,2019,5018.92,5233
Olsztyn,2020,5438.71,5781
Olsztyn,2021,5902.66,6202
Olsztyn,2022,6506.02,7077
Olsztyn,2023,7386.7,7500
Olsztyn,2024,8613.33,8571
